日期,浏览量,浏览量环比,访客数,访客数环比,人均浏览量,人均浏览量环比,平均停留时间,平均停留时间环比,跳失率,跳失率环比,成交客户数,成交客户数环比,成交单量,成交单量环比,成交金额,成交金额环比,客单价,客单价环比,成交商品件数,成交商品件数环比,成交转化率,成交转化率环比,下单客户数,下单客户数环比,下单单量,下单单量环比,下单金额,下单金额环比,下单商品件数,下单商品件数环比,下单转化率,下单转化率环比,下单成交转化率,下单成交转化率环比
2016-06-01,231734,-,54522,-,4.25,-,110.4,-,52.57%,-,3861,-,4026,-,327589.0,-,84.85,-,12563,-,7.08%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-02,196535,-,44672,-,4.4,-,112.02,-,50.22%,-,2994,-,3159,-,275033.02,-,91.86,-,10664,-,6.70%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-03,67965,-,26263,-,2.59,-,130.17,-,59.19%,-,2864,-,3051,-,289808.36,-,101.19,-,10799,-,10.91%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-04,79469,-,32973,-,2.41,-,118.15,-,62.04%,-,6708,-,6910,-,386185.78,-,57.57,-,18214,-,20.34%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-05,68312,-,28020,-,2.44,-,125.7,-,62.07%,-,3630,-,3764,-,279355.34,-,76.96,-,12680,-,12.96%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-06,77165,-,30652,-,2.52,-,123.18,-,60.55%,-,3735,-,3843,-,292267.94,-,78.25,-,12907,-,12.19%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-07,83546,-,33005,-,2.53,-,122.49,-,62.22%,-,3987,-,4141,-,307478.1,-,77.12,-,13973,-,12.08%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-08,60541,-,23306,-,2.6,-,133.83,-,60.42%,-,3105,-,3227,-,243389.36,-,78.39,-,11414,-,13.32%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-09,52322,-,20293,-,2.58,-,128.13,-,60.19%,-,2692,-,2817,-,202089.94,-,75.07,-,9802,-,13.27%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-10,77750,-,29720,-,2.62,-,117.66,-,59.02%,-,3415,-,3556,-,255173.96,-,74.72,-,12192,-,11.49%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-11,76596,-,27580,-,2.78,-,132.74,-,56.70%,-,3572,-,3732,-,277453.66,-,77.67,-,13583,-,12.95%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-12,98178,-,33690,-,2.91,-,152.75,-,56.44%,-,4020,-,4167,-,322424.48,-,80.21,-,16541,-,11.93%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-13,140830,-,50127,-,2.81,-,150.91,-,57.19%,-,6774,-,7016,-,611003.9,-,90.2,-,29154,-,13.51%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-14,121779,-,45724,-,2.66,-,149.22,-,57.35%,-,5160,-,5366,-,438800.56,-,85.04,-,23745,-,11.29%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-15,153244,-,58204,-,2.63,-,126.36,-,56.40%,-,5243,-,5471,-,447130.06,-,85.28,-,24536,-,9.01%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-16,145881,-,54085,-,2.7,-,139.05,-,56.83%,-,5707,-,5939,-,456135.68,-,79.93,-,24346,-,10.55%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-17,175525,-,66093,-,2.66,-,142.61,-,58.11%,-,6442,-,6725,-,524941.54,-,81.49,-,28087,-,9.75%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-18,456416,-,164409,-,2.78,-,144.78,-,57.55%,-,22833,-,23843,-,2493758.1,-,109.22,-,100217,-,13.89%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-19,212739,-,79844,-,2.66,-,128.19,-,59.73%,-,9838,-,10198,-,757235.46,-,76.97,-,42483,-,12.32%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-20,150521,-,55249,-,2.72,-,145.16,-,57.49%,-,7920,-,8175,-,632039.16,-,79.8,-,35707,-,14.34%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-21,135893,-,60074,-,2.26,-,115.94,-,63.74%,-,5288,-,5494,-,424335.28,-,80.24,-,22786,-,8.80%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-22,485013,-,114709,-,4.23,-,119.24,-,51.69%,-,8280,-,8591,-,773512.22,-,93.42,-,35156,-,7.22%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-23,173838,-,79717,-,2.18,-,121.5,-,62.71%,-,6560,-,6831,-,475183.5,-,72.44,-,26922,-,8.23%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-24,116238,-,48180,-,2.41,-,113.47,-,61.28%,-,7167,-,7431,-,393744.9,-,54.94,-,23489,-,14.88%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-25,124468,-,61831,-,2.01,-,118.45,-,64.99%,-,5009,-,5156,-,355372.28,-,70.95,-,20320,-,8.10%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-26,117350,-,58302,-,2.01,-,115.0,-,65.12%,-,4674,-,4824,-,339884.7,-,72.72,-,19119,-,8.02%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-27,95445,-,39653,-,2.41,-,121.89,-,61.65%,-,4187,-,4348,-,427287.0,-,102.05,-,18082,-,10.56%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-28,98179,-,45165,-,2.17,-,118.48,-,64.76%,-,3837,-,3960,-,482885.4,-,125.85,-,18133,-,8.50%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-29,95019,-,42443,-,2.24,-,113.07,-,64.45%,-,3830,-,3938,-,321005.9,-,83.81,-,17712,-,9.02%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-06-30,85927,-,35982,-,2.39,-,112.52,-,61.40%,-,4122,-,4242,-,339232.0,-,82.3,-,18911,-,11.46%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-08-01,231256,-,61437,-,3.76,-,110.02,-,53.85%,-,2749,-,2819,-,271064.9,-,98.6,-,10432,-,4.47%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-08-02,180378,-,44937,-,4.01,-,112.26,-,54.42%,-,2619,-,2703,-,228359.5,-,87.19,-,8906,-,5.83%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2016-08-03,202697,-,48645,-,4.17,-,112.82,-,52.09%,-,3303,-,3422,-,235345.8,-,71.25,-,9626,-,6.79%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
